1024	18840.2
2048	17732.6
3072	14681.2
4096	14041.4
5120	13696.7
6144	13270.3
7168	12272.7
8192	12136.2
9216	11922.2
10240	11851.6
11264	11588.8
12288	11395.8
13312	11078.8
14336	10947.4
15360	10849.3
16384	10717.8
17408	10361.7
18432	10071.4
19456	9846.91
20480	9651.21
21504	9253.94
22528	9230.63
23552	9173.04
24576	8949.29
26624	8911.87
27648	8799.09
28672	8780.18
29696	8616.75
30720	8541.24
32768	8420.44
33792	8327.29
34816	8237.3
35840	8154.74
36864	8075.1
37888	8003.68
39936	7898.97
40960	7883.35
43008	7865.5
44032	7849.88
47104	7723.05
52224	7682.32
54272	7670.74
57344	7670.11
60416	7577.27
62464	7430.01
64512	7424.07
65536	7423.78
67584	7345.91
69632	7319.33
70656	7317.14
72704	7225.01
73728	7055.85
75776	7027.36
76800	7027.08
83968	6918.91
